date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,WEEK_NUMBER,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
10/24/05 0:00,1.33931,1.12381,1439,1599,4248,1237,377999,2005-43,0,0,0,0
10/31/05 0:00,1.58374,1.25489,1639,1894,5005,1280,398840,2005-44,5,1,0,0
11/7/05 0:00,1.47072,1.33661,1563,1929,5038,1272,376924,2005-45,1,0,0,0
11/14/05 0:00,1.6112,1.37864,1679,1951,5276,1277,382697,2005-46,3,1,0,0
11/21/05 0:00,1.82699,1.60829,1666,1593,4802,1301,298578,2005-47,4,1,0,0
11/28/05 0:00,1.77482,1.48311,1858,2176,5966,1325,402264,2005-48,6,1,0,1
12/5/05 0:00,1.94451,1.65374,1987,2463,6371,1328,385248,2005-49,11,0,0,0
12/12/05 0:00,2.35512,2.00679,2241,3063,7697,1318,383548,2005-50,14,0,0,1
12/19/05 0:00,3.10878,2.56857,2696,3058,8577,1287,333921,2005-51,35,1,0,3
12/26/05 0:00,3.28238,3.05278,2678,2561,8842,1273,289638,2005-52,66,1,0,2
1/2/06 0:00,2.62914,2.42504,2422,2366,8339,1319,343871,2006-1,68,0,0,1
1/9/06 0:00,2.2515,2.00195,2272,2921,7882,1339,393716,2006-2,55,0,0,3
1/16/06 0:00,2.35858,2.05869,2249,3150,7858,1297,381699,2006-3,74,0,0,4
1/23/06 0:00,2.41881,2.21277,2643,3646,9114,1331,411882,2006-4,87,1,0,0
1/30/06 0:00,2.52752,2.3222,2612,4153,9551,1320,411291,2006-5,120,1,0,5
2/6/06 0:00,2.64954,2.49279,2754,4593,10427,1311,418286,2006-6,120,3,0,14
2/13/06 0:00,3.12935,2.79489,2624,4979,11226,1288,401661,2006-7,132,2,0,19
2/20/06 0:00,3.12442,2.96911,2753,5284,11901,1288,400827,2006-8,142,10,0,9
2/27/06 0:00,3.13099,2.83959,2579,5008,11343,1275,399459,2006-9,153,15,0,5
3/6/06 0:00,3.08261,2.77799,2564,5106,11261,1257,405365,2006-10,155,28,0,10
3/13/06 0:00,2.64431,2.47287,2330,4154,9322,1241,376971,2006-11,129,25,0,4
3/20/06 0:00,2.42295,2.18061,1895,3709,8064,1217,369804,2006-12,102,26,0,3
3/27/06 0:00,2.31141,2.0168,1697,3393,7313,1165,362605,2006-13,65,28,0,0
4/3/06 0:00,1.86383,1.64101,1437,2660,5738,1133,349662,2006-14,45,15,0,3
4/10/06 0:00,1.44943,1.35829,1181,2014,4547,1087,334760,2006-15,22,16,0,0
4/17/06 0:00,1.30227,1.1428,959,1479,3550,1045,310641,2006-16,22,7,0,1
4/24/06 0:00,1.13459,1.04031,836,1382,3177,1017,305389,2006-17,18,3,0,1
10/2/06 0:00,1.15384,1.20322,1434,1699,4513,1323,375076,2006-40,1,0,0,0
10/9/06 0:00,1.14819,1.05788,1278,1602,4072,1361,384920,2006-41,1,0,0,0
10/16/06 0:00,1.22736,1.13054,1543,1830,4737,1425,419005,2006-42,3,0,0,0
10/23/06 0:00,1.21744,1.12552,1582,1996,4888,1445,434287,2006-43,1,0,0,0
10/30/06 0:00,1.32813,1.20808,1672,2270,5380,1473,445334,2006-44,4,1,0,0
11/6/06 0:00,1.47754,1.34952,2112,2393,6139,1497,454901,2006-45,12,0,0,0
11/13/06 0:00,1.5339,1.4689,2355,2681,6668,1474,453945,2006-46,2,0,0,0
11/20/06 0:00,1.91269,1.82767,2188,2202,6156,1488,336822,2006-47,4,0,0,1
11/27/06 0:00,1.838,1.6656,2573,2792,7530,1486,452089,2006-48,11,1,0,0
12/4/06 0:00,1.95376,1.85968,2643,3244,8122,1493,436741,2006-49,15,1,0,0
12/11/06 0:00,2.40407,2.38891,3270,4470,10396,1492,435177,2006-50,17,3,0,1
12/18/06 0:00,2.87453,2.78978,3387,4065,10192,1435,365334,2006-51,39,4,0,0
12/25/06 0:00,3.02597,3.11549,3243,2868,8913,1359,286087,2006-52,38,4,0,3
1/1/07 0:00,2.37817,2.26942,2927,2481,8386,1490,369521,2007-1,32,3,0,1
1/8/07 0:00,2.09232,1.86355,2507,2756,7761,1467,416464,2007-2,32,1,0,2
1/15/07 0:00,2.29396,1.99986,2548,3248,7909,1470,395477,2007-3,50,6,0,0
1/22/07 0:00,2.74501,2.4406,3410,4684,10888,1495,446119,2007-4,57,2,0,4
1/29/07 0:00,3.04434,2.83018,3456,5648,12120,1472,428241,2007-5,71,5,0,0
2/5/07 0:00,3.49999,3.12343,3840,6995,14197,1484,454533,2007-6,87,11,0,9
2/12/07 0:00,3.57851,3.27019,3879,6668,14031,1461,429057,2007-7,82,7,0,13
2/19/07 0:00,3.28979,3.17757,3728,6537,14048,1460,442099,2007-8,76,19,0,2
2/26/07 0:00,2.89149,2.72364,3016,5429,11801,1428,433281,2007-9,74,15,0,2
3/5/07 0:00,2.62075,2.50201,2798,4937,10715,1408,428255,2007-10,66,15,0,4
3/12/07 0:00,2.53387,2.4272,2668,4031,9597,1361,395394,2007-11,77,13,0,0
3/19/07 0:00,2.07251,1.96041,2049,3307,7562,1333,385735,2007-12,60,8,0,1
3/26/07 0:00,1.87084,1.5914,1664,2508,6148,1303,386327,2007-13,57,6,0,0
4/2/07 0:00,1.40042,1.36978,1445,1803,4958,1284,361955,2007-14,32,6,0,0
4/9/07 0:00,1.46887,1.36317,1429,1821,4869,1240,357183,2007-15,27,5,0,2
4/16/07 0:00,1.15514,1.1737,1257,1523,4179,1206,356055,2007-16,28,9,0,0
4/23/07 0:00,1.07901,1.06358,1152,1386,3695,1152,347413,2007-17,26,4,0,3
10/1/07 0:00,0.995184,1.07197,2187,1997,5641,1373,526227,2007-40,6,0,0,0
10/8/07 0:00,1.22003,1.21786,2387,2433,6444,1429,529126,2007-41,2,0,0,1
10/15/07 0:00,1.28548,1.24576,2583,2551,6941,1449,557172,2007-42,4,0,0,0
10/22/07 0:00,1.3775,1.35984,2871,2788,7434,1477,546680,2007-43,5,0,0,1
10/29/07 0:00,1.46725,1.44671,3074,2998,7915,1485,547104,2007-44,8,2,0,2
11/5/07 0:00,1.55841,1.53286,3398,3303,8687,1539,566717,2007-45,5,1,0,1
11/12/07 0:00,1.61958,1.66653,3563,3290,9104,1516,546284,2007-46,10,1,0,1
11/19/07 0:00,1.8112,1.97488,3651,2631,8570,1523,433951,2007-47,17,1,0,3
11/26/07 0:00,1.61865,1.67305,3679,3158,9171,1513,548159,2007-48,18,2,0,0
12/3/07 0:00,1.62124,1.63405,3365,2907,8436,1487,516263,2007-49,18,3,0,1
12/10/07 0:00,1.67351,1.74595,3298,2694,8091,1453,463416,2007-50,24,2,0,0
12/17/07 0:00,1.95096,1.93643,3580,2724,8750,1420,451862,2007-51,40,4,0,3
12/24/07 0:00,2.50019,2.48905,3848,2348,8902,1426,357646,2007-52,50,8,0,7
12/31/07 0:00,2.43939,2.25405,3737,2568,9706,1486,430603,2008-1,38,9,0,8
1/7/08 0:00,2.29319,2.09147,3393,3644,11115,1509,531444,2008-2,52,10,0,1
1/14/08 0:00,2.62907,2.35934,3664,4900,12197,1511,516966,2008-3,57,19,0,4
1/21/08 0:00,3.92966,3.32331,4289,7661,17171,1508,516683,2008-4,100,29,0,3
1/28/08 0:00,4.99202,4.43381,5222,11974,24812,1514,559609,2008-5,185,44,0,9
2/4/08 0:00,5.7776,5.34547,6059,15323,31896,1526,596692,2008-6,266,96,0,18
2/11/08 0:00,5.98318,5.42258,6244,14336,31625,1518,583210,2008-7,282,114,0,14
2/18/08 0:00,5.61677,5.30303,5922,12783,30245,1497,570334,2008-8,322,139,0,25
2/25/08 0:00,4.53234,4.24456,4978,9958,25027,1453,589626,2008-9,275,153,0,16
3/3/08 0:00,3.83249,3.628,4420,7849,20254,1445,558269,2008-10,245,121,0,16
3/10/08 0:00,3.21522,3.03463,3878,6112,16714,1412,550776,2008-11,210,117,0,12
3/17/08 0:00,2.69245,2.53595,3153,4493,13040,1395,514205,2008-12,128,102,0,13
3/24/08 0:00,2.03366,2.0573,2689,3395,10376,1379,504350,2008-13,76,69,0,5
3/31/08 0:00,1.65275,1.7415,2372,2697,8583,1327,492850,2008-14,61,65,0,3
4/7/08 0:00,1.3113,1.40652,2045,2354,7045,1318,500881,2008-15,27,39,0,1
4/14/08 0:00,1.1652,1.26861,1857,2013,6079,1288,479187,2008-16,21,32,0,1
4/21/08 0:00,1.02035,1.07719,1572,1713,4953,1208,459808,2008-17,10,17,0,0
9/29/08 0:00,1.06828,1.02284,1535,2352,5687,1435,555999,2008-40,3,0,0,0
10/6/08 0:00,1.00756,1.03017,1861,2291,5959,1500,578446,2008-41,11,0,0,0
10/13/08 0:00,0.979399,1.01245,1869,2219,5896,1525,582351,2008-42,3,0,0,1
10/20/08 0:00,1.04943,1.08359,1976,2474,6485,1527,598473,2008-43,10,0,1,0
10/27/08 0:00,1.13218,1.16578,2119,2547,6987,1545,599343,2008-44,9,0,0,0
11/3/08 0:00,1.13156,1.1913,2276,2668,7297,1555,612526,2008-45,11,0,0,1
11/10/08 0:00,1.15469,1.28075,2512,2854,7667,1555,598635,2008-46,8,1,1,2
11/17/08 0:00,1.20448,1.27053,2600,2828,7733,1563,608646,2008-47,12,2,0,0
11/24/08 0:00,1.36081,1.59578,3024,2412,7634,1523,478386,2008-48,8,2,0,1
12/1/08 0:00,1.30322,1.4585,3114,2913,8708,1551,597052,2008-49,15,4,0,3
12/8/08 0:00,1.30204,1.49921,3252,3024,8689,1543,579573,2008-50,17,0,0,1
12/15/08 0:00,1.45109,1.62982,3137,2579,7812,1416,479318,2008-51,16,0,0,0
12/22/08 0:00,1.79927,2.15561,3897,2367,8706,1484,403876,2008-52,29,5,0,2
12/29/08 0:00,2.12134,2.02053,3814,2042,8603,1490,425780,2009-1,25,4,0,1
1/5/09 0:00,1.47138,1.54566,3245,2548,8956,1539,579428,2009-2,49,4,0,1
1/12/09 0:00,1.61555,1.64224,3142,3345,9289,1512,565631,2009-3,48,9,0,1
1/19/09 0:00,1.95333,1.96524,3602,4597,11456,1566,582932,2009-4,80,8,1,4
1/26/09 0:00,2.42907,2.34368,4039,6602,14324,1554,611176,2009-5,90,14,0,4
2/2/09 0:00,2.96686,2.86057,4606,8882,18268,1580,638613,2009-6,120,25,1,8
2/9/09 0:00,3.57354,3.3421,5064,11215,21667,1569,648304,2009-7,148,31,0,6
2/16/09 0:00,3.36653,3.20566,4848,9851,20022,1543,624583,2009-8,116,54,1,10
2/23/09 0:00,3.2962,3.10049,4694,10092,20450,1544,659573,2009-9,106,45,0,4
3/2/09 0:00,3.17227,2.95819,4420,9116,18441,1534,623389,2009-10,95,52,0,9
3/9/09 0:00,2.5804,2.46381,4046,7446,15711,1524,637672,2009-11,69,33,0,9
3/16/09 0:00,2.42922,2.19272,3657,6036,13277,1494,605503,2009-12,53,40,0,2
3/23/09 0:00,1.99028,1.87395,3237,5052,11400,1470,608342,2009-13,32,23,0,2
3/30/09 0:00,1.72423,1.64817,2829,4283,9669,1440,586651,2009-14,21,20,0,1
4/6/09 0:00,1.60355,1.49878,2577,3407,8460,1422,564460,2009-15,10,4,0,1
8/24/09 0:00,2.38017,2.47166,2883,8253,14556,1320,588916,2009-35,83,0,0,1
8/31/09 0:00,3.44681,3.71969,3713,13114,21350,1358,573972,2009-36,207,3,2,1
9/7/09 0:00,4.05315,3.94975,4087,13407,22561,1367,571201,2009-37,198,3,2,1
9/14/09 0:00,4.26621,4.08756,4445,15326,26091,1380,638302,2009-38,260,3,3,3
9/28/09 0:00,4.8861,4.60362,4974,16291,27919,1331,606458,2009-40,707,0,5,7
10/5/09 0:00,6.06923,5.66087,9302,27406,48420,2056,855346,2009-41,952,2,7,6
10/12/09 0:00,7.09467,6.81522,11527,32585,58196,2134,853912,2009-42,1022,4,2,4
10/19/09 0:00,7.7151,7.61889,13187,39364,69068,2162,906536,2009-43,887,2,3,1
10/26/09 0:00,7.55134,7.38836,13174,36860,66411,2167,898860,2009-44,675,5,2,4
11/2/09 0:00,6.67118,6.33927,12161,30860,57017,2197,899425,2009-45,453,2,1,4
11/9/09 0:00,5.20633,4.94349,10151,21112,42729,2191,864348,2009-46,324,0,2,2
11/16/09 0:00,4.04477,3.80996,8979,14652,32520,2157,853552,2009-47,186,2,4,1
11/23/09 0:00,3.49722,3.44106,7716,8237,22508,2146,654101,2009-48,122,0,2,1
11/30/09 0:00,2.69023,2.66773,7195,7988,21730,2122,814550,2009-49,86,1,3,2
12/7/09 0:00,2.47119,2.47183,6490,7218,19325,2093,781811,2009-50,70,0,2,0
12/14/09 0:00,2.44773,2.345,6275,5785,17081,2014,728401,2009-51,66,1,1,0
12/21/09 0:00,2.64594,2.71435,6078,4127,14575,1934,536961,2009-52,75,2,0,0
1/4/10 0:00,1.90712,1.98284,4998,3961,14299,1996,721138,2010-1,56,1,1,0
1/11/10 0:00,1.86738,1.82749,4877,4614,14088,2016,770895,2010-2,53,2,0,1
1/18/10 0:00,1.88072,1.92606,5399,5079,14757,2053,766177,2010-3,56,0,1,0
1/25/10 0:00,1.96908,1.92495,5333,5655,15122,2026,785580,2010-4,37,0,2,0
2/1/10 0:00,2.11387,2.08877,5816,6142,16037,1996,767773,2010-5,48,3,3,0
2/8/10 0:00,2.09695,2.03434,5496,5577,15381,1977,756068,2010-6,33,4,2,1
2/15/10 0:00,1.90294,1.97649,5388,5536,15065,1954,762208,2010-7,48,1,2,0
2/22/10 0:00,1.96951,1.99362,5040,6207,16087,1990,806925,2010-8,37,3,1,0
3/1/10 0:00,1.92331,1.85383,4281,5685,14486,1953,781411,2010-9,39,2,1,1
3/8/10 0:00,1.89659,1.8673,4612,5270,14354,1946,768702,2010-10,38,2,2,0
3/15/10 0:00,1.75181,1.69987,4063,4466,12601,1933,741293,2010-11,37,1,0,0
3/22/10 0:00,1.52632,1.49741,3625,4108,11191,1917,747358,2010-12,25,0,1,1
3/29/10 0:00,1.49572,1.45112,3408,3733,10359,1875,713863,2010-13,16,2,1,0
4/5/10 0:00,1.22313,1.20715,3090,2933,8813,1850,730068,2010-14,17,0,0,0
4/12/10 0:00,1.17754,1.17415,3117,3110,8801,1831,749563,2010-15,17,1,0,0
4/19/10 0:00,1.09112,1.16207,2921,3044,8362,1765,719580,2010-16,9,0,1,0
4/26/10 0:00,1.11958,1.17213,3081,2972,8440,1755,720054,2010-17,7,0,0,0
10/4/10 0:00,1.10939,1.13505,2627,3142,8473,1838,746485,2010-40,9,2,1,1
10/11/10 0:00,1.24341,1.25256,2953,3522,9347,1875,746230,2010-41,12,2,1,0
10/18/10 0:00,1.25726,1.2457,3044,3641,9684,1907,777397,2010-42,12,3,1,1
10/25/10 0:00,1.25734,1.26774,3226,3822,9904,1929,781234,2010-43,18,5,0,0
11/1/10 0:00,1.43414,1.43723,3451,4397,11020,1947,766753,2010-44,18,6,0,0
11/8/10 0:00,1.51838,1.53341,3927,4679,11807,1940,769982,2010-45,9,8,0,0
11/15/10 0:00,1.61617,1.69445,4416,5322,13336,1921,787038,2010-46,20,14,1,1
11/22/10 0:00,1.84378,1.9915,4598,4145,12079,1938,606527,2010-47,21,16,2,1
11/29/10 0:00,1.72535,1.81305,5045,4978,13997,1964,772016,2010-48,38,26,0,0
12/6/10 0:00,1.87923,2.01426,5060,5867,14958,1936,742606,2010-49,54,34,2,0
12/13/10 0:00,2.3371,2.55659,6300,7194,18022,1916,704923,2010-50,77,30,0,0
12/20/10 0:00,3.03533,3.38185,7295,7071,19899,1840,588406,2010-51,138,33,1,0
12/27/10 0:00,3.136,3.43172,7478,5764,20346,1887,592880,2010-52,209,37,1,2
1/3/11 0:00,2.53336,2.69151,6584,6342,20026,1923,744043,2011-1,197,45,4,6
1/10/11 0:00,2.91288,2.91063,6238,7773,20721,1921,711908,2011-2,246,30,6,0
1/17/11 0:00,3.44497,3.49232,7247,11243,26257,1964,751850,2011-3,321,38,0,1
1/24/11 0:00,4.16185,4.0037,8007,15291,31975,1947,798637,2011-4,382,40,3,2
1/31/11 0:00,4.55159,4.43534,8195,16366,34284,1970,772974,2011-5,457,63,2,4
2/7/11 0:00,4.46504,4.24215,8036,16516,34456,1961,812230,2011-6,398,63,2,3
2/14/11 0:00,4.55124,4.39719,8172,17493,36567,1910,831600,2011-7,520,62,3,7
2/21/11 0:00,4.0822,3.90256,7839,13718,31277,1908,801449,2011-8,522,87,2,8
2/28/11 0:00,3.38812,3.15073,6376,10496,24627,1860,781629,2011-9,454,73,1,2
3/7/11 0:00,2.99142,2.72422,5691,8427,20377,1829,747993,2011-10,338,74,0,2
3/14/11 0:00,2.61542,2.33336,5363,6702,17309,1823,741807,2011-11,265,67,2,4
3/21/11 0:00,2.09065,1.925,4400,5489,14031,1790,728883,2011-12,173,38,0,3
3/28/11 0:00,1.86146,1.75243,4189,5025,12957,1770,739375,2011-13,101,45,0,1
4/4/11 0:00,1.61377,1.57704,3701,4557,11498,1723,729089,2011-14,70,37,1,0
4/11/11 0:00,1.42199,1.35766,3164,3562,9391,1681,691707,2011-15,58,24,0,0
4/18/11 0:00,1.3382,1.31223,3139,3064,8695,1651,662612,2011-16,26,24,0,0
4/25/11 0:00,1.19995,1.14937,2895,2673,7830,1612,681240,2011-17,21,12,0,0
10/3/11 0:00,1.16092,1.20345,3106,3485,9365,1850,778182,2011-40,5,3,0,0
10/10/11 0:00,1.19785,1.23777,3317,3667,9803,1883,791987,2011-41,2,1,1,1
10/17/11 0:00,1.27926,1.25259,3324,3837,9958,1905,794995,2011-42,6,2,0,0
10/24/11 0:00,1.29194,1.30546,3453,4035,10298,1900,788840,2011-43,2,0,0,0
10/31/11 0:00,1.42824,1.45295,3634,4658,11396,1925,784334,2011-44,2,3,0,1
11/7/11 0:00,1.39803,1.44089,3949,4348,11496,1946,797839,2011-45,1,0,0,1
11/14/11 0:00,1.45831,1.46221,3923,4361,11721,1900,801594,2011-46,4,0,0,0
11/21/11 0:00,1.56548,1.65573,4125,3340,10377,1918,626731,2011-47,7,2,0,0
11/28/11 0:00,1.34313,1.46606,4237,3955,11479,1904,782984,2011-48,7,2,0,0
12/5/11 0:00,1.48139,1.51811,3995,4040,11187,1898,736905,2011-49,3,4,0,1
12/12/11 0:00,1.63398,1.66429,4579,4097,12137,1872,729258,2011-50,11,5,0,0
12/19/11 0:00,1.83126,1.85274,5016,3535,11958,1851,645424,2011-51,11,2,0,1
12/26/11 0:00,2.10451,2.12413,5243,3184,12356,1821,581697,2011-52,23,3,0,0
1/2/12 0:00,1.73625,1.76709,4514,3393,11992,1891,678631,2012-1,17,6,0,1
1/9/12 0:00,1.55066,1.5434,4059,3636,11543,1883,747894,2012-2,21,1,0,0
1/16/12 0:00,1.62891,1.64762,4364,4030,11939,1887,724623,2012-3,20,3,0,0
1/23/12 0:00,1.76038,1.6843,4766,4802,13209,1891,784244,2012-4,28,1,0,0
1/30/12 0:00,1.92728,1.86354,5218,5336,14448,1885,775298,2012-5,53,5,0,0
2/6/12 0:00,1.91994,1.86408,5028,5555,14624,1875,784516,2012-6,53,5,0,0
2/13/12 0:00,2.09951,2.01839,5277,5994,15929,1884,789193,2012-7,84,6,0,1
2/20/12 0:00,2.23973,2.10385,5246,5990,16137,1853,767022,2012-8,106,4,0,0
2/27/12 0:00,2.21921,2.09555,5219,6239,16518,1826,788242,2012-9,152,15,1,0
3/5/12 0:00,2.16693,2.10398,4811,6493,15763,1816,749198,2012-10,210,7,1,0
3/12/12 0:00,2.38913,2.2941,5175,6768,17150,1819,747570,2012-11,282,15,0,0
3/19/12 0:00,1.96466,1.92223,4422,5683,14524,1780,755579,2012-12,268,25,1,0
3/26/12 0:00,1.84229,1.74239,3807,5256,13017,1753,747079,2012-13,189,36,2,1
4/2/12 0:00,1.68674,1.67601,3582,4631,11930,1729,711808,2012-14,162,33,0,0
4/9/12 0:00,1.53136,1.49637,3253,4059,10732,1707,717202,2012-15,160,38,0,1
4/16/12 0:00,1.37912,1.38202,3001,4020,10123,1699,732480,2012-16,126,40,1,0
4/23/12 0:00,1.29515,1.28926,2638,3802,9370,1675,726772,2012-17,89,27,1,0
10/1/12 0:00,1.23034,1.20559,2773,3691,9395,1932,779285,2012-40,5,4,0,2
10/8/12 0:00,1.3278,1.31929,2960,4007,10158,1940,769959,2012-41,4,2,0,0
10/15/12 0:00,1.33995,1.32737,3202,4233,10585,1968,797444,2012-42,12,2,0,1
10/22/12 0:00,1.37842,1.36688,3346,4268,10913,1958,798388,2012-43,10,0,0,0
10/29/12 0:00,1.50085,1.50535,3326,4422,11061,1929,734781,2012-44,15,9,0,1
11/5/12 0:00,1.65163,1.61273,3733,5145,12674,1974,785871,2012-45,36,16,1,1
11/12/12 0:00,1.76746,1.75208,4034,5526,13623,1966,777534,2012-46,52,24,0,0
11/19/12 0:00,2.30609,2.33365,4651,5387,14650,1968,627772,2012-47,115,18,0,0
11/26/12 0:00,2.16324,2.2268,5102,7018,18521,2006,831730,2012-48,182,39,0,1
12/3/12 0:00,2.83038,2.97657,6486,10857,24877,2006,835762,2012-49,324,71,0,0
12/10/12 0:00,3.43761,3.62552,7446,12945,29432,1977,811800,2012-50,476,67,2,1
12/17/12 0:00,4.30554,4.5532,8546,13971,34332,1908,754019,2012-51,774,104,1,5
12/24/12 0:00,6.06082,6.02598,9709,11391,36588,1905,607171,2012-52,1315,102,0,0
12/31/12 0:00,4.64931,4.96368,8444,9108,34103,1982,687051,2013-1,1371,146,2,6
1/7/13 0:00,4.32584,4.69072,8297,13424,39896,1995,850531,2013-2,1251,134,1,5
